Puzzle Date,Constructor,Day of Week,Cheat Pct,Adjusted Mean,Adjusted Median,Adjusted P75,Adjusted P90,Actual Mean,Actual Median,Actual P75,Actual P90
2021-03-07,Celeste Watts and Jeff Chen,Sunday,0.22807,0.04611,0.02625,0.22889,0.545,0.04554,0.02625,0.17131,0.38771
2021-09-09,Billy Bratton,Thursday,0.11429,0.07579,0.02568,0.25765,0.699,0.07293,0.04756,0.25115,0.43858
2021-05-22,Sid Sivakumar and Matthew Stock,Saturday,0.16667,0.09773,0.02253,0.28594,0.68992,0.06724,0.02253,0.16856,0.35994
2021-07-05,Peter Gordon,Monday,0.09524,0.34993,0.02139,0.25789,0.80905,0.16161,0.09661,0.29102,0.49293
2021-12-02,Rebecca Goldstein,Thursday,0.13514,0.18795,0.02011,0.29734,0.84426,0.10945,0.0793,0.24632,0.50085
2021-09-11,Sid Sivakumar,Saturday,0.125,0.02781,0.01901,0.23635,0.47187,0.10595,0.05279,0.28955,0.47798
2021-11-05,Joseph Greenbaum,Friday,0.10145,0.07396,0.019,0.24581,0.60675,0.018,-0.00322,0.23618,0.48302
2021-08-13,John Guzzetta and Michael Hawkins,Friday,0.08955,0.12991,0.01788,0.38881,0.92241,0.13757,0.02314,0.23409,0.67148
2021-09-14,Christopher Adams,Tuesday,0.08974,0.22402,0.01598,0.37757,0.61325,0.18182,0.08814,0.37224,0.52362
2021-01-31,Jim Hilger,Sunday,0.23636,0.11681,0.01489,0.27612,0.5916,0.07204,0.02889,0.25463,0.39076
2021-12-31,Meghan Morris,Friday,0.03448,0.10781,0.01446,0.19283,0.64153,0.14426,0.03639,0.39431,0.67351
2021-06-22,Matt Frederick,Tuesday,0.07407,0.03234,0.01386,0.21957,0.46776,0.10972,0.08496,0.26606,0.33683
2021-08-24,Jessie Bullock and Ross Trudeau,Tuesday,0.07229,0.03518,0.01305,0.18872,0.34651,0.07528,0.05215,0.24879,0.39077
2021-07-14,Amanda Rafkin and Ross Trudeau,Wednesday,0.11688,0.12744,0.01052,0.2798,0.6713,0.10214,0.06668,0.26662,0.45168
2021-02-25,Dylan Schiff,Thursday,0.16393,0.11672,0.0088,0.35036,0.69535,0.07822,0.02626,0.28031,0.4797
2021-01-05,Amy Schecter and Christina Iverson,Tuesday,0.14754,0.15668,0.00669,0.2635,0.51316,0.07811,0.02333,0.27561,0.49007
2021-05-19,Ashish Vengsarkar,Wednesday,0.19178,0.22611,0.0027,0.32622,1.01531,0.08708,0.00145,0.19654,0.41648
